id_doc;community;weight;AU;PY;TI;SO;DE
CHEVENET F, 1994, FRESHW BIOL;c1;1,000000000000000;"CHEVENET F;DOLEDEC S;CHESSEL D";1994;A FUZZY CODING APPROACH FOR THE ANALYSIS OF LONG-TERM ECOLOGICAL DATA;FRESHWATER BIOLOGY;NA
FERNANDES MB, 1997, MAR POLLUT BULL;NA;1,000000000000000;"FERNANDES MB;SICRE MA;BOIREAU A;TRONCZYNSKI J";1997;POLYAROMATIC HYDROCARBON (PAH) DISTRIBUTIONS IN THE SEINE RIVER AND ITS ESTUARY;MARINE POLLUTION BULLETIN;NA
MALARD F, 2002, FRESHW BIOL;c1;1,000000000000000;"MALARD F;TOCKNER K;DOLE-OLIVIER MJ;WARD JV";2002;A LANDSCAPE PERSPECTIVE OF SURFACE-SUBSURFACE HYDROLOGICAL EXCHANGES IN RIVER CORRIDORS;FRESHWATER BIOLOGY;"GROUND WATER; HYPORHEIC ZONE; INTERSTITIAL FAUNA; NUTRIENT; SPATIAL; CONFIGURATION; STREAM"
ZHANG J, 1996, CONT SHELF RES;NA;1,000000000000000;ZHANG J;1996;NUTRIENT ELEMENTS IN LARGE CHINESE ESTUARIES;CONTINENTAL SHELF RESEARCH;NA
TOLOSA I, 1996, ENVIRON SCI TECHNOL;NA;1,000000000000000;"TOLOSA I;BAYONA JM;ALBAIGES J";1996;ALIPHATIC AND POLYCYCLIC AROMATIC HYDROCARBONS AND SULFUR/OXYGEN DERIVATIVES IN NORTHWESTERN MEDITERRANEAN SEDIMENTS: SPATIAL AND TEMPORAL VARIABILITY, FLUXES, AND BUDGETS;ENVIRONMENTAL SCIENCE \& TECHNOLOGY;NA
MEYBECK M, 2003, GLOB PLANET CHANGE;NA;1,000000000000000;"MEYBECK M;LAROCHE L;DURR HH;SYVITSKI JPM";2003;GLOBAL VARIABILITY OF DAILY TOTAL SUSPENDED SOLIDS AND THEIR FLUXES IN RIVERS;GLOBAL AND PLANETARY CHANGE;"SEDIMENT CONCENTRATION; SEDIMENT FLUX; RIVER REGIMES; GLOBAL SCALE; TIME; VARIABILITY"
WYNN RB, 2007, MAR PET GEOL;NA;1,000000000000000;"WYNN RB;CRONIN BT;PEAKALL J";2007;SINUOUS DEEP-WATER CHANNELS: GENESIS, GEOMETRY AND ARCHITECTURE;MARINE AND PETROLEUM GEOLOGY;"SINUOUS CHANNELS; CHANNEL-LEVEE SYSTEMS; TURBIDITES; SUBMARINE FANS; TURBIDITY CURRENTS"
DOLEDEC S, 1999, FRESHW BIOL;c1;1,000000000000000;"DOLEDEC S;STATZNER B;BOURNARD M";1999;SPECIES TRAITS FOR FUTURE BIOMONITORING ACROSS ECOREGIONS: PATTERNS ALONG A HUMAN-IMPACTED RIVER;FRESHWATER BIOLOGY;"BIOMONITORING; COMMUNITY STRUCTURE; HUMAN IMPACT; MACROINVERTEBRATES; SPECIES TRAITS"
DAUFRESNE M, 2004, GLOB CHANGE BIOL;NA;0,400000000000000;"DAUFRESNE M;ROGER MC;CAPRA H;LAMOUROUX N";2004;LONG-TERM CHANGES WITHIN THE INVERTEBRATE AND FISH COMMUNITIES OF THE UPPER RHONE RIVER: EFFECTS OF CLIMATIC FACTORS;GLOBAL CHANGE BIOLOGY;"CLIMATE CHANGE; FISH; FRESHWATER; INVERTEBRATE; LONG-TERM SERIES; RHONE; RIVER"
PALANQUES A, 2006, MAR GEOL;c3;1,000000000000000;"PALANQUES A;DE MADRON XD;PUIG J;GUILLEN J;CALAFAT A;CANALS M;HEUSSNER S;BONNIN J";2006;SUSPENDED SEDIMENT FLUXES AND TRANSPORT PROCESSES IN THE GULF OF LIONS SUBMARINE CANYONS. THE ROLE OF STORMS AND DENSE WATER CASCADING;MARINE GEOLOGY;"SUSPENDED SEDIMENT TRANSPORT; SUBMARINE CANYON; GULF OF LIONS; STORM; EVENTS; CASCADING EVENTS"
DOLEOLIVIER MJ, 1997, FRESHW BIOL;c1;1,000000000000000;"DOLEOLIVIER MJ;MARMONIER P;BEFFY JL";1997;RESPONSE OF INVERTEBRATES TO LOTIC DISTURBANCE: IS THE HYPORHEIC ZONE A PATCHY REFUGIUM?;FRESHWATER BIOLOGY;NA
RABOUILLE C, 2008, CONT SHELF RES;c6;1,000000000000000;"RABOUILLE C;CONLEY DJ;DAI MH;CAI WJ;CHEN CTA;LANSARD B;GREEN R;YIN K;HARRISON PJ;DAGG M;MCKEE B";2008;COMPARISON OF HYPOXIA AMONG FOUR RIVER-DOMINATED OCEAN MARGINS: THE CHANGJIANG (YANGTZE), MISSISSIPPI, PEARL, AND RHONE RIVERS;CONTINENTAL SHELF RESEARCH;"OXYGEN HYPOXIA; CARBON CYCLE; COASTAL OCEANOGRAPHY; ESTUARIES; RIVER; PLUMES; NUTRIENTS; CONTINENTAL SHELVES"
AARTS BGW, 2004, RIVER RES APPL;NA;1,000000000000000;"AARTS BGW;VAN DEN BRINK FWB;NIENHUIS PH";2004;HABITAT LOSS AS THE MAIN CAUSE OF THE SLOW RECOVERY OF FISH FAUNAS OF REGULATED LARGE RIVERS IN EUROPE: THE TRANSVERSAL FLOODPLAIN GRADIENT;RIVER RESEARCH AND APPLICATIONS;"HABITAT LOSS; FISH GUILDS; REGULATED RIVERS; FLOODPLAIN; RHONE; DANUBE; RHINE; MEUSE"
HUSS M, 2011, WATER RESOUR RES;NA;1,000000000000000;HUSS M;2011;PRESENT AND FUTURE CONTRIBUTION OF GLACIER STORAGE CHANGE TO RUNOFF FROM MACROSCALE DRAINAGE BASINS IN EUROPE;WATER RESOURCES RESEARCH;NA
BRAVARD JP, 1986, OIKOS;c1;0,500000000000000;"BRAVARD JP;AMOROS C;PAUTOU G";1986;IMPACT OF CIVIL ENGINEERING WORKS ON THE SUCCESSIONS OF COMMUNITIES IN A FLUVIAL SYSTEM - A METHODOLOGICAL AND PREDICTIVE APPROACH APPLIED TO A SECTION OF THE UPPER RHONE RIVER, FRANCE;OIKOS;NA
BRAVARD JP, 1986, OIKOS;NA;0,500000000000000;"BRAVARD JP;AMOROS C;PAUTOU G";1986;IMPACT OF CIVIL ENGINEERING WORKS ON THE SUCCESSIONS OF COMMUNITIES IN A FLUVIAL SYSTEM - A METHODOLOGICAL AND PREDICTIVE APPROACH APPLIED TO A SECTION OF THE UPPER RHONE RIVER, FRANCE;OIKOS;NA
MARSTON RA, 1995, GEOMORPHOLOGY;c1;1,000000000000000;"MARSTON RA;GIREL J;PAUTOU G;PIEGAY H;BRAVARD C";1995;CHANNEL METAMORPHOSIS, FLOODPLAIN DISTURBANCE, AND VEGETATION DEVELOPMENT - AIN RIVER, FRANCE;GEOMORPHOLOGY;NA
PONT D, 2002, ESTUAR COAST SHELF SCI;c4;1,000000000000000;"PONT D;SIMONNET JP;WALTER AV";2002;MEDIUM-TERM CHANGES IN SUSPENDED SEDIMENT DELIVERY TO THE OCEAN: CONSEQUENCES OF CATCHMENT HETEROGENEITY AND RIVER MANAGEMENT (RHONE RIVER, FRANCE);ESTUARINE COASTAL AND SHELF SCIENCE;"SUSPENDED SOLID TRANSPORT; RHONE RIVER; CATCHMENT HETEROGENEITY; RIVER; MANAGEMENT"
MONACO A, 1990, CONT SHELF RES-a;c3;1,000000000000000;"MONACO A;BISCAYE P;SOYER J;POCKLINGTON R;HEUSSNER S";1990;PARTICLE FLUXES AND ECOSYSTEM RESPONSE ON A CONTINENTAL-MARGIN - THE 1985-1988 MEDITERRANEAN ECOMARGE EXPERIMENT;CONTINENTAL SHELF RESEARCH;NA
BOULOUBASSI I, 1993, OCEANOL ACTA;NA;1,000000000000000;"BOULOUBASSI I;SALIOT A";1993;INVESTIGATION OF ANTHROPOGENIC AND NATURAL ORGANIC INPUTS IN ESTUARINE SEDIMENTS USING HYDROCARBON MARKERS (NAH, LAB, PAH);OCEANOLOGICA ACTA;"ANTHROPOGENIC NATURAL INPUTS; ESTUARY; HYDROCARBONS; MEDITERRANEAN; SEDIMENTS"
LIPIATOU E, 1991, MAR CHEM;NA;1,000000000000000;"LIPIATOU E;SALIOT A";1991;FLUXES AND TRANSPORT OF ANTHROPOGENIC AND NATURAL POLYCYCLIC AROMATIC-HYDROCARBONS IN THE WESTERN MEDITERRANEAN-SEA;MARINE CHEMISTRY;NA
SEMPERE R, 2000, GLOB BIOGEOCHEM CYCLE;c2;1,000000000000000;"SEMPERE R;CHARRIERE B;VAN WAMBEKE F;CAUWET G";2000;CARBON INPUTS OF THE RHONE RIVER TO THE MEDITERRANEAN SEA: BIOGEOCHEMICAL IMPLICATIONS;GLOBAL BIOGEOCHEMICAL CYCLES;NA
BOONE A, 2001, J HYDROMETEOROL;NA;1,000000000000000;"BOONE A;ETCHEVERS P";2001;AN INTERCOMPARISON OF THREE SNOW SCHEMES OF VARYING COMPLEXITY COUPLED TO THE SAME LAND SURFACE MODEL: LOCAL-SCALE EVALUATION AT AN ALPINE SITE;JOURNAL OF HYDROMETEOROLOGY;NA
DARNAUDE AM, 2004, OECOLOGIA;c4;1,000000000000000;"DARNAUDE AM;SALEN-PICARD C;POLUNIN NVC;HARMELIN-VIVIEN ML";2004;TROPHODYNAMIC LINKAGE BETWEEN RIVER RUNOFF AND COASTAL FISHERY YIELD ELUCIDATED BY STABLE ISOTOPE DATA IN THE GULF OF LIONS (NW MEDITERRANEAN);OECOLOGIA;"CARBON; NITROGEN; TERRESTRIAL ORGANIC MATTER; MACROBENTHIC COMMUNITIES; FLATFISHES"
BOONE A, 2004, J CLIM;NA;1,000000000000000;"BOONE A;HABETS F;NOILHAN J;CLARK D;DIRMEYER S;GUSEV Y;HADDELAND I;KOSTER R;LOHMANN S;MITCHELL K;NASONOVA O;NIU GY;PITMAN A;POLCHER J;SHMAKIN AB;TANAKA K;VAN DEN HURK S;VERSEGHY D;VITERBO P;YANG ZL";2004;THE RHONE-AGGREGATION LAND SURFACE SCHEME INTERCOMPARISON PROJECT: AN OVERVIEW;JOURNAL OF CLIMATE;NA
DURAND JD, 1999, MOL ECOL;c8;0,666666666666667;"DURAND JD;PERSAT H;BOUVET Y";1999;PHYLOGEOGRAPHY AND POSTGLACIAL DISPERSION OF THE CHUB (LEUCISCUS CEPHALUS) IN EUROPE;MOLECULAR ECOLOGY;"CYPRINIDAE; LEUCISCUS CEPHALUS; MITOCHONDRIAL DNA; PHYLOGEOGRAPHY; PLEISTOCENE"
AUCOUR AM, 1999, CHEM GEOL;NA;1,000000000000000;"AUCOUR AM;SHEPPARD SMF;GUYOMAR O;WATTELET J";1999;USE OF C-13 TO TRACE ORIGIN AND CYCLING OF INORGANIC CARBON IN THE RHONE RIVER SYSTEM;CHEMICAL GEOLOGY;"CARBON ISOTOPE; DISSOLVED INORGANIC CARBON; PARTICULATE INORGANIC; CARBON; RHONE RIVER; GLOBAL CARBON CYCLE"
WRIGHT LD, 2006, CONT SHELF RES;NA;1,000000000000000;"WRIGHT LD;FRIEDRICHS CT";2006;GRAVITY-DRIVEN SEDIMENT TRANSPORT ON CONTINENTAL SHELVES: A STATUS REPORT;CONTINENTAL SHELF RESEARCH;"FLUID MUD; SEDIMENT TRANSPORT; TURBIDITY CURRENTS; SUBAQUEOUS DELTA"
LIPIATOU E, 1997, DEEP-SEA RES PART II-TOP STUD OCEANOGR;NA;1,000000000000000;"LIPIATOU E;TOLOSA I;SIMO R;BOULOUBASSI I;DACHS J;MARTI S;SICRE MA;BAYONA JM;GRIMALT JO;SALIOT A;ALBAIGES J";1997;MASS BUDGET AND DYNAMICS OF POLYCYCLIC AROMATIC HYDROCARBONS IN THE MEDITERRANEAN SEA;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY;NA
TOLOSA I, 1995, ENVIRON SCI TECHNOL;NA;1,000000000000000;"TOLOSA I;BAYONA JM;ALBAIGES J";1995;SPATIAL AND TEMPORAL DISTRIBUTION, FLUXES, AND BUDGETS OF ORGANOCHLORINATED COMPOUNDS IN NORTHWEST MEDITERRANEAN SEDIMENTS;ENVIRONMENTAL SCIENCE \& TECHNOLOGY;NA
DE MADRON XD, 2000, OCEANOL ACTA;c3;0,800000000000000;"DE MADRON XD;ABASSI A;HEUSSNER S;MONACO A;ALOISI JC;RADAKOVITCH O;GIRESSE P;BUSCAIL R;KERHERVE P";2000;PARTICULATE MATTER AND ORGANIC CARBON BUDGETS FOR THE GULF OF LIONS (NW MEDITERRANEAN);OCEANOLOGICA ACTA;"MEDITERRANEAN SEA; GULF OF LIONS; SEDIMENT; FLUX; ORGANIC CARBON AND; MASS BUDGETS"
LLORET J, 2001, FISH OCEANOGR;c6;1,000000000000000;"LLORET J;LLEONART J;SOLE I;FROMENTIN JM";2001;FLUCTUATIONS OF LANDINGS AND ENVIRONMENTAL CONDITIONS IN THE NORTH-WESTERN MEDITERRANEAN SEA;FISHERIES OCEANOGRAPHY;"BOX-JENKINS MODELS; EBRE RIVER; GULF OF LIONS; GULF OF ROSES-CAPE CREUS; MEDITERRANEAN FISHERIES; MUGA RIVER; NAO INDEX; RHONE RIVER; WIND"
DEFLEUR A, 1999, SCIENCE;NA;1,000000000000000;"DEFLEUR A;WHITE T;VALENSI P;SLIMAK E";1999;NEANDERTHAL CANNIBALISM AT MOULA-GUERCY, ARDECHE, FRANCE;SCIENCE;NA
MOJTAHID M, 2009, MAR MICROPALEONTOL;c6;1,000000000000000;"MOJTAHID M;JORISSEN F;LANSARD B;FONTANIER B;RABOUILLE C";2009;SPATIAL DISTRIBUTION OF LIVE BENTHIC FORAMINIFERA IN THE RHONE PRODELTA: FAUNAL RESPONSE TO A CONTINENTAL-MARINE ORGANIC MATTER GRADIENT;MARINE MICROPALEONTOLOGY;"BENTHIC FORAMINIFERA; EUTROPHICATION; RIVER PLUME; OXYGEN; ORGANIC; CARBON; COASTAL OCEAN; GULF OF LIONS; RHONE RIVER"
CHIRON S, 1993, ENVIRON SCI TECHNOL;NA;0,500000000000000;"CHIRON S;ALBA AF;BARCELO D";1993;COMPARISON OF ONLINE SOLID-PHASE DISK EXTRACTION TO LIQUID-LIQUID-EXTRACTION FOR MONITORING SELECTED PESTICIDES IN ENVIRONMENTAL WATERS;ENVIRONMENTAL SCIENCE \& TECHNOLOGY;NA
CHIRON S, 1993, ENVIRON SCI TECHNOL;NA;0,500000000000000;"CHIRON S;ALBA AF;BARCELO D";1993;COMPARISON OF ONLINE SOLID-PHASE DISK EXTRACTION TO LIQUID-LIQUID-EXTRACTION FOR MONITORING SELECTED PESTICIDES IN ENVIRONMENTAL WATERS;ENVIRONMENTAL SCIENCE \& TECHNOLOGY;NA
DAI M, 1995, MAR CHEM;NA;0,833333333333333;"DAI M;MARTIN JM;CAUWET G";1995;THE SIGNIFICANT ROLE OF COLLOIDS IN THE TRANSPORT AND TRANSFORMATION OF ORGANIC-CARBON AND ASSOCIATED TRACE-METALS (CD, CU AND NI) IN THE RHONE DELTA (FRANCE);MARINE CHEMISTRY;NA
ESTOURNEL C, 2003, J GEOPHYS RES-OCEANS;c3;1,000000000000000;"ESTOURNEL C;DE MADRON XD;MARSALEIX P;AUCLAIR C;VEHIL R";2003;OBSERVATION AND MODELING OF THE WINTER COASTAL OCEANIC CIRCULATION IN THE GULF OF LION UNDER WIND CONDITIONS INFLUENCED BY THE CONTINENTAL OROGRAPHY (FETCH EXPERIMENT);JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS;"GULF OF LION; COASTAL CIRCULATION; WIND CURL; SHELF-SLOPE EXCHANGES"
MONACO A, 1990, CONT SHELF RES;c3;0,761904761904762;"MONACO A;COURP T;HEUSSNER S;CARBONNE J;FOWLER SW;DENIAUX B";1990;SEASONALITY AND COMPOSITION OF PARTICULATE FLUXES DURING ECOMARGE .1. WESTERN GULF OF LIONS;CONTINENTAL SHELF RESEARCH;NA
PONT D, 2018, SCI REP;c4;1,000000000000000;"PONT D;ROCLE M;VALENTINI A;CIVADE R;JEAN P;MAIRE A;ROSET N;SCHABUSS M;ZORNIG H;DEJEAN T";2018;ENVIRONMENTAL DNA REVEALS QUANTITATIVE PATTERNS OF FISH BIODIVERSITY IN LARGE RIVERS DESPITE ITS DOWNSTREAM TRANSPORTATION;SCIENTIFIC REPORTS;NA
PALOMERA I, 1992, MAR ECOL-PROG SER;NA;1,000000000000000;PALOMERA I;1992;SPAWNING OF ANCHOVY ENGRAULIS-ENCRASICOLUS IN THE NORTHWESTERN MEDITERRANEAN RELATIVE TO HYDROGRAPHIC FEATURES IN THE REGION;MARINE ECOLOGY PROGRESS SERIES;NA
STATZNER B, 1994, FRESHW BIOL;c1;1,000000000000000;"STATZNER B;RESH VH;ROUX AL";1994;THE SYNTHESIS OF LONG-TERM ECOLOGICAL RESEARCH IN THE CONTEXT OF CONCURRENTLY DEVELOPED ECOLOGICAL THEORY - DESIGN OF A RESEARCH STRATEGY FOR THE UPPER RHONE RIVER AND ITS FLOODPLAIN;FRESHWATER BIOLOGY;NA
COPP GH, 1992, ENVIRON BIOL FISHES;c8;1,000000000000000;COPP GH;1992;COMPARATIVE MICROHABITAT USE OF CYPRINID LARVAE AND JUVENILES IN A LOTIC FLOODPLAIN CHANNEL;ENVIRONMENTAL BIOLOGY OF FISHES;"PISCES; CYPRINIDAE; CORRESPONDENCE ANALYSIS; ELECTROFISHING; POINT; ABUNDANCE SAMPLING; UPPER RHONE RIVER; EARLY LIFE HISTORY; ELECTIVITY; INDEX; PREDATION; RESOURCE PARTITIONING"
BETHOUX JP, 1992, DEEP-SEA RESEARCH PART A-OCEANOGRAPHIC RESEARCH PAPERS;c3;1,000000000000000;"BETHOUX JP;MORIN P;MADEC C;GENTILI B";1992;PHOSPHORUS AND NITROGEN BEHAVIOR IN THE MEDITERRANEAN-SEA;DEEP-SEA RESEARCH PART A-OCEANOGRAPHIC RESEARCH PAPERS;NA
ORIEKHOVA O, 2018, ENVIRON SCI-NANO;NA;1,000000000000000;"ORIEKHOVA O;STOLL S";2018;HETEROAGGREGATION OF NANOPLASTIC PARTICLES IN THE PRESENCE OF INORGANIC COLLOIDS AND NATURAL ORGANIC MATTER;ENVIRONMENTAL SCIENCE-NANO;NA
BARRAT-SEGRETAIN MH, 1998, AQUAT BOT;c1;1,000000000000000;"BARRAT-SEGRETAIN MH;BORNETTE G;HERING-VILAS-BOAS A";1998;COMPARATIVE ABILITIES OF VEGETATIVE REGENERATION AMONG AQUATIC PLANTS GROWING IN DISTURBED HABITATS;AQUATIC BOTANY;"AQUATIC VASCULAR PLANTS; COLONISATION; FRAGMENTATION; STRATEGIES; TACTICS; TRADE-OFF; VEGETATIVE REPRODUCTION"
DOLEOLIVIER MJ, 1992, FRESHW BIOL;c1;1,000000000000000;"DOLEOLIVIER MJ;MARMONIER P";1992;PATCH DISTRIBUTION OF INTERSTITIAL COMMUNITIES - PREVAILING FACTORS;FRESHWATER BIOLOGY;NA
ALTERMATT F, 2013, J BIOGEOGR;NA;1,000000000000000;"ALTERMATT F;SEYMOUR M;MARTINEZ N";2013;RIVER NETWORK PROPERTIES SHAPE ALPHA-DIVERSITY AND COMMUNITY SIMILARITY PATTERNS OF AQUATIC INSECT COMMUNITIES ACROSS MAJOR DRAINAGE BASINS;JOURNAL OF BIOGEOGRAPHY;"DENDRITIC RIVER NETWORK; DISPERSAL; EPHEMEROPTERA; MACROINVERTEBRATES; METACOMMUNITY; PLECOPTERA; SWITZERLAND; TRICHOPTERA"
GROUSSET FE, 1995, MAR CHEM;c3;1,000000000000000;"GROUSSET FE;QUETEL CR;THOMAS B;DONARD OFX;LAMBERT CE;GUILLARD F;MONACO A";1995;ANTHROPOGENIC VS LITHOGENIC ORIGINS OF TRACE-ELEMENTS (AS, CD, PB, RB, SB, SC, SN, ZN) IN WATER COLUMN PARTICLES - NORTHWESTERN MEDITERRANEAN-SEA;MARINE CHEMISTRY;NA
BENISTON M, 2012, J HYDROL;c1;1,000000000000000;BENISTON M;2012;IMPACTS OF CLIMATIC CHANGE ON WATER AND ASSOCIATED ECONOMIC ACTIVITIES IN THE SWISS ALPS;JOURNAL OF HYDROLOGY;"CLIMATIC CHANGE; SWISS ALPS; GLACIERS; SNOW; RHONE RIVER; CLIMATE; IMPACTS"
READMAN JW, 1993, MAR POLLUT BULL;NA;1,000000000000000;"READMAN JW;ALBANIS TA;BARCELO D;GALASSI J;GABRIELIDES GP";1993;HERBICIDE CONTAMINATION OF MEDITERRANEAN ESTUARINE WATERS - RESULTS FROM A MED POL PILOT SURVEY;MARINE POLLUTION BULLETIN;NA
MERIGOT B, 2007, MAR BIOL;c4;1,000000000000000;"MERIGOT B;LETOURNEUR Y;LECOMTE-FINIGER R";2007;CHARACTERIZATION OF LOCAL POPULATIONS OF THE COMMON SOLE SOLEA SOLEA (PISCES, SOLEIDAE) IN THE NW MEDITERRANEAN THROUGH OTOLITH MORPHOMETRICS AND SHAPE ANALYSIS;MARINE BIOLOGY;NA
LEFEVRE D, 1997, DEEP-SEA RES PART II-TOP STUD OCEANOGR;c2;1,000000000000000;"LEFEVRE D;MINAS HJ;MINAS M;ROBINSON C;WILLIAMS PJL;WOODWARD EMS";1997;REVIEW OF GROSS COMMUNITY PRODUCTION, PRIMARY PRODUCTION, NET COMMUNITY PRODUCTION AND DARK COMMUNITY RESPIRATION IN THE GULF OF LIONS;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY;NA
GALAT DL, 2001, J N AM BENTHOL SOC;c1;1,000000000000000;"GALAT DL;ZWEIMULLER I";2001;CONSERVING LARGE-RIVER FISHES: IS THE HIGHWAY ANALOGY AN APPROPRIATE PARADIGM?;JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY;"LARGE RIVER; RIVERINE FISHES; FLOODPLAIN; MAIN CHANNEL; HABITAT USE; CLASSIFICATION; FLOOD PULSE CONCEPT; HIGHWAY ANALOGY; INTRODUCED FISHES; IMPERILED FISHES; ECOLOGICAL CONCEPTS"
PARA J, 2010, BIOGEOSCIENCES;c2;1,000000000000000;"PARA J;COBLE PG;CHARRIERE B;TEDETTI M;FONTANA C;SEMPERE R";2010;FLUORESCENCE AND ABSORPTION PROPERTIES OF CHROMOPHORIC DISSOLVED ORGANIC MATTER (CDOM) IN COASTAL SURFACE WATERS OF THE NORTHWESTERN MEDITERRANEAN SEA, INFLUENCE OF THE RHONE RIVER;BIOGEOSCIENCES;NA
BROWN AG, 2018, EARTH-SCI REV;NA;1,000000000000000;"BROWN AG;LESPEZ L;SEAR DA;MACAIRE JJ;HOUBEN P;KLIMEK K;BRAZIER RE;VAN OOST K;PEARS B";2018;NATURAL VS ANTHROPOGENIC STREAMS IN EUROPE: HISTORY, ECOLOGY AND IMPLICATIONS FOR RESTORATION, RIVER-REWILDING AND RIVERINE ECOSYSTEM SERVICES;EARTH-SCIENCE REVIEWS;NA
ARNAUD F, 2005, HOLOCENE;NA;0,666666666666667;"ARNAUD F;REVEL M;CHAPRON E;DESMET M;TRIBOVILLARD N";2005;7200 YEARS OF RHONE RIVER FLOODING ACTIVITY IN LAKE LE BOURGET, FRANCE: A HIGH-RESOLUTION SEDIMENT RECORD OF NW ALPS HYDROLOGY;HOLOCENE;"RIVER DISCHARGE; FLOODS; PALAEOHYDROLOGY; CLIMATE; HUMAN IMPACT; MAGNETIC SUSCEPTIBILITY; SILICATE MINERALS; MAJOR ELEMENTS; RHONE; ALPS; FRANCE; HOLOCENE"
IBANEZ C, 1997, LIMNOL OCEANOGR;c4;1,000000000000000;"IBANEZ C;PONT D;PRAT N";1997;CHARACTERIZATION OF THE EBRE AND RHONE ESTUARIES: A BASIS FOR DEFINING AND CLASSIFYING SALT-WEDGE ESTUARIES;LIMNOLOGY AND OCEANOGRAPHY;NA
CAUWET G, 1990, CONT SHELF RES;c2;1,000000000000000;"CAUWET G;GADEL F;SIERRA MMD;DONARD O;EWALD M";1990;CONTRIBUTION OF THE RHONE RIVER TO ORGANIC-CARBON INPUTS TO THE NORTHWESTERN MEDITERRANEAN-SEA;CONTINENTAL SHELF RESEARCH;NA
RESH VH, 1994, FRESHW BIOL;c1;1,000000000000000;"RESH VH;HILDREW AG;STATZNER B;TOWNSEND CR";1994;THEORETICAL HABITAT TEMPLETS, SPECIES TRAITS, AND SPECIES RICHNESS - A SYNTHESIS OF LONG-TERM ECOLOGICAL RESEARCH ON THE UPPER RHONE RIVER IN THE CONTEXT OF CONCURRENTLY DEVELOPED ECOLOGICAL THEORY;FRESHWATER BIOLOGY;NA
FERRARI GM, 2000, MAR CHEM;NA;1,000000000000000;FERRARI GM;2000;THE RELATIONSHIP BETWEEN CHROMOPHORIC DISSOLVED ORGANIC MATTER AND DISSOLVED ORGANIC CARBON IN THE EUROPEAN ATLANTIC COASTAL AREA AND IN THE WEST MEDITERRANEAN SEA (GULF OF LIONS);MARINE CHEMISTRY;"CHROMOPHORIC DISSOLVED ORGANIC MATTER; DISSOLVED ORGANIC CARBON; EUROPEAN ATLANTIC COASTAL AREA; WEST MEDITERRANEAN SEA (GULF OF LIONS)"
GOLTERMAN HL, 1995, HYDROBIOLOGIA;NA;1,000000000000000;GOLTERMAN HL;1995;THE ROLE OF THE IRONHYDROXIDE-PHOSPHATE-SULFIDE SYSTEM IN THE PHOSPHATE EXCHANGE BETWEEN SEDIMENTS AND OVERLYING WATER;HYDROBIOLOGIA;"PHOSPHATE; IRONHYDROXIDE; SULFIDE; APATITE; SEDIMENTS"
SEGUINOT J, 2018, CRYOSPHERE;NA;1,000000000000000;"SEGUINOT J;IVY-OCHS S;JOUVET G;HUSS M;FUNK M;PREUSSER F";2018;MODELLING LAST GLACIAL CYCLE ICE DYNAMICS IN THE ALPS;CRYOSPHERE;NA
TROUSSELLIER M, 2002, AQUAT MICROB ECOL;c2;1,000000000000000;"TROUSSELLIER M;SCHAFER H;BATAILLER N;BERNARD C;LEBARON P;MUYZER G;SERVAIS P;VIVES-REGO J";2002;BACTERIAL ACTIVITY AND GENETIC RICHNESS ALONG AN ESTUARINE GRADIENT (RHONE RIVER PLUME, FRANCE);AQUATIC MICROBIAL ECOLOGY;"BACTERIA; GENETIC DIVERSITY; ACTIVITY; ESTUARY; RHONE RIVER; MEDITERRANEAN SEA; PCR-DGGE; FLOW CYTOMETRY"
HARMELIN-VIVIEN M, 2008, CONT SHELF RES;c4;1,000000000000000;"HARMELIN-VIVIEN M;LOIZEAU V;MELLON C;BEKER B;ARLHAC D;BODIGUEL X;FERRATON F;HERMAND R;PHILIPPON X;SALEN-PICARD C";2008;COMPARISON OF C AND N STABLE ISOTOPE RATIOS BETWEEN SURFACE PARTICULATE ORGANIC MATTER AND MICROPHYTOPLANKTON IN THE GULF OF LIONS (NW MEDITERRANEAN);CONTINENTAL SHELF RESEARCH;"PARTICULATE ORGANIC MATTER; PHYTOPLANKTON COMPOSITION; FLUORESCENCE; MAXIMUM; STABLE ISOTOPES; C/N RATIO; PON/CHL A; SEASONAL VARIATION"
FRIEDRICHS CT, 2004, COAST ENG;NA;1,000000000000000;"FRIEDRICHS CT;WRIGHT LD";2004;GRAVITY-DRIVEN SEDIMENT TRANSPORT ON THE CONTINENTAL SHELFIMPLICATIONS FOR EQUILIBRIUM PROFILES NEAR RIVER MOUTHS;COASTAL ENGINEERING;"GRAVITY-DRIVEN; SEDIMENT TRANSPORT; CONTINENTAL SHELF; EQUILIBRIUM; PROFILES; ANALYTICAL MODEL; RIVER MOUTHS"
