id_doc;community;weight;AU;PY;TI;SO;DE
MATHIEU J, 1997, AQUAT SCI;c1;1,000000000000000;"MATHIEU J;JEANNEROD F;HERVANT F;KANE TC";1997;GENETIC DIFFERENTIATION OF NIPHARGUS RHENORHODANENSIS (AMPHIPODA) FROM INTERSTITIAL AND KARST ENVIRONMENTS;AQUATIC SCIENCES;GENETIC POPULATION NIPHARGUS INTERSTITIAL KARST
PIEGAY H, 1998, Z GEOMORPHOL;c1;1,000000000000000;"PIEGAY H;CITTERIO A;ASTRADE L";1998;INTERACTIONS BETWEEN LARGE WOODY DEBRIS AND MEANDER CUT-OFF (EXAMPLE OF THE MELLON SITE ON THE AIN RIVER, FRANCE).;ZEITSCHRIFT FUR GEOMORPHOLOGIE;NA
GREULICH S, 2000, AQUAT BOT;c1;1,000000000000000;"GREULICH S;BORNETTE G;AMOROS C;ROELOFS JGM";2000;INVESTIGATION ON THE FUNDAMENTAL NICHE OF A RARE SPECIES AN EXPERIMENT ON ESTABLISHMENT OF LURONIUM NATANS;AQUATIC BOTANY;"AQUATIC MACROPHYTES; ECOLOGICAL AMPLITUDE; LITTORELLETEA; SEDIMENT; CHARACTERISTICS; CUT-OFF RIVER CHANNELS"
HEINZ C, 1991, REV PALAEOBOT PALYNOLOGY;NA;1,000000000000000;HEINZ C;1991;UPPER PLEISTOCENE AND HOLOCENE VEGETATION IN THE SOUTH OF FRANCE AND ANDORRA ADAPTATIONS AND 1ST RUPTURES - NEW CHARCOAL ANALYSIS DATA;REVIEW OF PALAEOBOTANY AND PALYNOLOGY;NA
BURRUS D, 1990, AQUAT SCI;c7;1,000000000000000;"BURRUS D;THOMAS RL;DOMINIK J;VERNET JP";1990;SEASONAL DELIVERY OF THE PARTICULATE FORMS OF PHOSPHORUS TO LAKE GENEVA FROM THE UPPER RHONE RIVER;AQUATIC SCIENCES;NA
MASFARAUD JF, 1990, SCI TOTAL ENVIRON;c8;1,000000000000000;"MASFARAUD JF;MONOD G;DEVAUX A";1990;USE OF THE FISH CYTOCHROME-P-450-DEPENDENT 7-ETHYLRESORUFIN O-DEETHYLASE ACTIVITY AS A BIOCHEMICAL INDICATOR OF WATER-POLLUTION - STUDY OF THE LIVER AND THE KIDNEY OF MALE AND FEMALE NASE (CHONDROSTOMA-NASUS) FROM THE RIVER RHONE;SCIENCE OF THE TOTAL ENVIRONMENT;NA
CARREL G, 2002, ARCH HYDROBIOL;c4;1,000000000000000;CARREL G;2002;PROSPECTING FOR HISTORICAL FISH DATA FROM THE RHONE RIVER BASIN: A CONTRIBUTION TO THE ASSESSMENT OF REFERENCE CONDITIONS;ARCHIV FUR HYDROBIOLOGIE;NA
BARTHELEMY C, 2015, FRESHW BIOL;c1;1,000000000000000;"BARTHELEMY C;ARMANI G";2015;A COMPARISON OF SOCIAL PROCESSES AT THREE SITES OF THE FRENCH RHONE RIVER SUBJECTED TO ECOLOGICAL RESTORATION;FRESHWATER BIOLOGY;"ANTHROPIC SYSTEMS; ETHNOLOGY; REHABILITATION; RELATIONSHIPS AMONG; STAKEHOLDERS; SOCIOLOGY"
COPP GH, 1993, FOLIA ZOOL;c8;1,000000000000000;COPP GH;1993;THE UPPER RIVER RHONE REVISITED - AN EMPIRICAL-MODEL OF MICROHABITAT USE BY 0+ JUVENILE FISHES;FOLIA ZOOLOGICA;NA
RASSMANN J, 2020, BIOGEOSCIENCES;c6;1,000000000000000;"RASSMANN J;EITEL EM;LANSARD B;CATHALOT C;BRANDILY C;TAILLEFERT M;RABOUILLE C";2020;BENTHIC ALKALINITY AND DISSOLVED INORGANIC CARBON FLUXES IN THE RHONE RIVER PRODELTA GENERATED BY DECOUPLED AEROBIC AND ANAEROBIC PROCESSES;BIOGEOSCIENCES;NA
KREMER K, 2015, MAR GEOL;c7;1,000000000000000;"KREMER K;CORELLA JP;HILBE F;DUPUY D;ZENHAEUSERN S";2015;CHANGES IN DISTAL SEDIMENTATION REGIME OF THE RHONE DELTA SYSTEM CONTROLLED BY SUBAQUATIC CHANNELS (LAKE GENEVA, SWITZERLAND/FRANCE);MARINE GEOLOGY;"SUBLACUSTRINE CHANNELS; TURBIDITE; DELTA; LAKE GENEVA; RHONE RIVER"
LAROCHE J, 1999, CAN J FISH AQUAT SCI;c8;0,866666666666667;"LAROCHE J;DURAND JD;BOUVET Y;GUINAND B;BROHON B";1999;GENETIC STRUCTURE AND DIFFERENTIATION AMONG POPULATIONS OF TWO CYPRINIDS, LEUCISCUS CEPHALUS AND RUTILUS RUTILUS, IN A LARGE EUROPEAN RIVER;CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES;NA
JANSSEN P, 2020, SCI TOTAL ENVIRON;c1;1,000000000000000;"JANSSEN P;STELLA JC;PIEGAY H;RAPPLE B;PONT B;FATON JM;CORNELISSEN JHC;EVETTE A";2020;DIVERGENCE OF RIPARIAN FOREST COMPOSITION AND FUNCTIONAL TRAITS FROM NATURAL SUCCESSION ALONG A DEGRADED RIVER WITH MULTIPLE STRESSOR LEGACIES;SCIENCE OF THE TOTAL ENVIRONMENT;"RIPARIAN FORESTS; ECOLOGICAL SUCCESSION; COMMUNITY-WEIGHTED TRAITS; HUMAN INDUCED-STRESSORS; ECOLOGICAL TRAJECTORIES"
BORNETTE G, 1996, VEGETATIO;c1;1,000000000000000;"BORNETTE G;GUERLESQUIN M;HENRY CP";1996;ARE THE CHARACEAE ABLE TO INDICATE THE ORIGIN OF GROUNDWATER IN FORMER RIVER CHANNELS?;VEGETATIO;"AQUATIC MACROPHYTES; CHARA; HILLSLOPE AQUIFER; NITELLA; PHYSICO-CHEMISTRY; SEEPAGE WATER"
FRITZ U, 2005, AMPHIB REPTIL;NA;1,000000000000000;"FRITZ U;CADI A;CHEYLAN M;COIC C;DETAINT A;ROSECCHI E;GUICKING D;LENK P;JOGER M";2005;DISTRIBUTION OF MTDNA HAPLOTYPES (CYT B) OF EMYS ORBICULARIS IN FRANCE AND IMPLICATIONS FOR POSTGLACIAL RECOLONIZATION;AMPHIBIA-REPTILIA;NA
DE BENEDITTIS J, 2005, WATER SCI TECHNOL;NA;1,000000000000000;"DE BENEDITTIS J;BERTRAND-KRAJEWSKI JL";2005;MEASUREMENT OF INFILTRATION RATES IN URBAN SEWER SYSTEMS BY USE OF OXYGEN ISOTOPES;WATER SCIENCE AND TECHNOLOGY;"INFILTRATION; OXYGEN ISOTOPES; UNCERTAINTY; RELIABILITY; SEWER SYSTEMS"
BORNETTE G, 2002, AQUAT BOT;c1;1,000000000000000;"BORNETTE G;ARENS MF";2002;CHAROPHYTE COMMUNITIES IN CUT-OFF RIVER CHANNELS - THE ROLE OF CONNECTIVITY;AQUATIC BOTANY;"CHARA SPP.; TEMPORAL DYNAMICS; DISTURBANCES; GROUNDWATER; DIVERSITY"
BOSQ M, 2020, AEOLIAN RES;NA;1,000000000000000;"BOSQ M;BERTRAN P;DEGEAI A;MOINE O";2020;GEOCHEMICAL SIGNATURE OF SOURCES, RECYCLING AND WEATHERING IN THE LAST GLACIAL LOESS FROM THE RHONE VALLEY (SOUTHEAST FRANCE) AND COMPARISON WITH OTHER EUROPEAN REGIONS;AEOLIAN RESEARCH;"GEOCHEMISTRY; ICP ANALYSIS; LAST GLACIAL; LOESS; SOUTHEAST FRANCE; WEATHERING"
BOSQ M, 2018, GEOMORPHOLOGY;NA;1,000000000000000;"BOSQ M;BERTRAN P;DEGEAI S;QUEFFELEC A;MOINE O;MORIN E";2018;LAST GLACIAL AEOLIAN LANDFORMS AND DEPOSITS IN THE RHONE VALLEY (SE FRANCE): SPATIAL DISTRIBUTION AND GRAIN-SIZE CHARACTERIZATION;GEOMORPHOLOGY;"AEOLIAN DEPOSITS; CARTOGRAPHY; GRAIN-SIZE DISTRIBUTION; LAST GLACIAL; LUCAS TOPSOIL DATABASE; YARDANGS"
GREGORIO V, 2014, WILEY INTERDISCIP REV-WATER;NA;1,000000000000000;"GREGORIO V;CHEVRE N";2014;ASSESSING THE RISKS POSED BY MIXTURES OF CHEMICALS IN FRESHWATER ENVIRONMENTS: CASE STUDY OF LAKE GENEVA, SWITZERLAND;WILEY INTERDISCIPLINARY REVIEWS-WATER;NA
CLARET C, 1998, INT REV HYDROBIOL;c1;1,000000000000000;CLARET C;1998;A METHOD BASED ON ARTIFICIAL SUBSTRATES TO MONITOR HYPORHEIC BIOFILM DEVELOPMENT;INTERNATIONAL REVIEW OF HYDROBIOLOGY;"BIOFILM; BACTERIA; GROUND WATER; SONICATION TREATMENT"
TASSY A, 2013, GEOMORPHOLOGY;NA;0,857142857142857;"TASSY A;MOCOCHAIN L;BELLIER O;BRAUCHER R;GATTACCECA J;BOURLES D";2013;COUPLING COSMOGENIC DATING AND MAGNETOSTRATIGRAPHY TO CONSTRAIN THE CHRONOLOGICAL EVOLUTION OF PEN-MEDITERRANEAN KARSTS DURING THE MESSINIAN AND THE PLIOCENE: EXAMPLE OF ARDECHE VALLEY, SOUTHERN FRANCE;GEOMORPHOLOGY;"SPELEOGENESIS; MESSINIAN SALINITY CRISIS; LATE CENOZOIC GEODYNAMICS; COSMOGENIC NUCLIDE BURIAL DATING; MAGNETOSTRATIGRAPHY; ARDECHE SE FRANCE"
RADAKOVITCH O, 1998, OCEANOL ACTA;c3;1,000000000000000;"RADAKOVITCH O;CHERRY RD;HEYRAUD M;HEUSSNER S";1998;UNUSUAL PO-210/PB-210 RATIOS IN THE SURFACE WATER OF THE GULF OF LIONS;OCEANOLOGICA ACTA;"SCAVENGING; MEDITERRANEAN SEA; RADIONUCLIDE BUDGET; RESIDENCE TIME"
RIQUIER J, 2017, GEOMORPHOLOGY;c1;0,700000000000000;"RIQUIER J;PIEGAY H;LAMOUROUX N;VAUDOR L";2017;ARE RESTORED SIDE CHANNELS SUSTAINABLE AQUATIC HABITAT FEATURES? PREDICTING THE POTENTIAL PERSISTENCE OF SIDE CHANNELS AS AQUATIC HABITATS BASED ON THEIR FINE SEDIMENTATION DYNAMICS;GEOMORPHOLOGY;"CHANNEL DESIGN; FLOODPLAIN RESTORATION; FLOODPLAIN SEDIMENTATION; HYDROLOGICAL CONNECTIVITY; RIVERINE WETLAND"
GALASSI DMP, 1999, HYDROBIOLOGIA;c1;1,000000000000000;"GALASSI DMP;DE LAURENTIIS P;DOLE-OLIVIER MJ";1999;NITOCRELLOPSIS ROUCHI SP N., A NEW AMEIRID HARPACTICOID FROM PHREATIC WATERS IN FRANCE (COPEPODA : HARPACTICOIDA : AMEIRIDAE);HYDROBIOLOGIA;"HARPACTICOIDA; NITOCRELLOPSIS ROUCHI SP N.; GROUNDWATER; STYGOBIONT"
MAUCLAIRE L, 1998, ARCH HYDROBIOL;c1;1,000000000000000;"MAUCLAIRE L;MARMONIER P;GIBERT J";1998;SAMPLING WATER AND SEDIMENT IN INTERSTITIAL HABITATS: A COMPARISON OF CORING AND PUMPING TECHNIQUES;ARCHIV FUR HYDROBIOLOGIE;NA
FLAMMARION P, 1999, WATER RES;c8;0,666666666666667;"FLAMMARION P;GARRIC J";1999;A STATISTICAL APPROACH FOR CLASSIFYING THE EXTENT OF EROD INDUCTION OF FISH SAMPLED IN CLEAN AND CONTAMINATED WATERS;WATER RESEARCH;"FISH; BIOMONITORING; EROD; VARIABILITY; CLASSIFICATION; STATISTICAL; POWER"
BOULETREAU S, 2016, ECOSPHERE;c8;1,000000000000000;"BOULETREAU S;SANTOUL F";2016;THE END OF THE MYTHICAL GIANT CATFISH;ECOSPHERE;"LENGTH-WEIGHT RELATIONSHIP; MEGAFISH; RECORD SIZE; STURGEON; WELS; CATFISH"
CELLOT B, 1989, FRESHW BIOL;c1;1,000000000000000;CELLOT B;1989;STRUCTURE AND DYNAMICS OF THE FRENCH UPPER RHONE ECOSYSTEMS .54. MACROINVERTEBRATE MOVEMENTS IN A LARGE EUROPEAN RIVER;FRESHWATER BIOLOGY;NA
SOTO Y, 1993, ESTUAR COAST SHELF SCI;c2;1,000000000000000;"SOTO Y;BIANCHI M;MARTINEZ J;REGO JV";1993;SEASONAL EVOLUTION OF MICROPLANKTONIC COMMUNITIES IN THE ESTUARINE FRONT ECOSYSTEM OF THE RHONE RIVER PLUME (NORTH-WESTERN MEDITERRANEAN-SEA);ESTUARINE COASTAL AND SHELF SCIENCE;"ESTUARINE FRONT; MICROPLANKTONIC COMMUNITIES; SEASONAL CHANGES; BACTERIAL PRODUCTION; BACTERIAL MORTALITY"
ROBERTS MC, 1997, J QUAT SCI;NA;1,000000000000000;"ROBERTS MC;BRAVARD JP;JOL HM";1997;RADAR SIGNATURES AND STRUCTURE OF AN AVULSED CHANNEL: RHONE RIVER, AOSTE, FRANCE;JOURNAL OF QUATERNARY SCIENCE;"GROUND PENETRATING RADAR; AVULSION; FLUVIAL; RHONE RIVER"
LEVEAU M, 1990, HYDROBIOLOGIA;c2;1,000000000000000;"LEVEAU M;LOCHET F;GOUTX M;BLANC F";1990;EFFECTS OF A PLUME FRONT ON THE DISTRIBUTION OF INORGANIC AND ORGANIC-MATTER OFF THE RHONE RIVER;HYDROBIOLOGIA;"RHONE RIVER; PLUME FRONT; ORGANIC MATTER ACCUMULATION"
MOUTHON J, 2003, ANN LIMNOL-INT J LIMNOL;c1;1,000000000000000;MOUTHON J;2003;LONGITUDINAL AND TEMPORAL VARIATIONS OF DENSITY AND SIZE STRUCTURE OF CORBICULA FLUMINEA (BIVALVIA) POPULATIONS IN THE SAONE AND RHONE RIVERS (FRANCE);ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY;"CORBICULA FLUMINEA; ASIAN CLAM; SIZE COMPOSITION DEMOGRAPHY; RHONE AND; SAONE RIVERS"
